Complete Match Results:
MCTS VS NEGAMAX 

Initial state: 274552224131661
WINNER: NEGAMAX O
Time: 70.5862 seconds

Initial state: 5455174361263362
WINNER: NEGAMAX O
Time: 14.8945 seconds

Initial state: 2531276566711153
WINNER: NEGAMAX O
Time: 215.005 seconds

Initial state: 37313333717124171162542
WINNER: NEGAMAX O
Time: 1.50968 seconds

Initial state: 6614446666373154
WINNER: NEGAMAX O
Time: 2.82911 seconds

Initial state: 24617524315172127
WINNER: NEGAMAX O
Time: 5.43837 seconds

Initial state: 6242432155656447531617622
WINNER: NEGAMAX O
Time: 2.33133 seconds

Initial state: 4642332434166445
WINNER: NEGAMAX O
Time: 8.41139 seconds

Initial state: 165713352355467777
WINNER: NEGAMAX O
Time: 40.2655 seconds

Initial state: 7441746225252552
WINNER: NEGAMAX O
Time: 5.097 seconds

Initial state: 7225753363613131156611
WINNER: NEGAMAX O
Time: 7.56388 seconds

Initial state: 246767232112661771721576
WINNER: NEGAMAX O
Time: 1.45126 seconds

Initial state: 1767235667232175621774455
WINNER: NEGAMAX O
Time: 1.38545 seconds

Initial state: 6323454652623215
WINNER: NEGAMAX O
Time: 14.0269 seconds

Initial state: 1113222154334225
WINNER: NEGAMAX O
Time: 9.14583 seconds

Initial state: 214644735611711
WINNER: NEGAMAX O
Time: 24.4342 seconds

Initial state: 555317266147361
WINNER: NEGAMAX O
Time: 788.831 seconds

Initial state: 52446155614451175
WINNER: NEGAMAX O
Time: 7.43937 seconds

Initial state: 444712564755311374
WINNER: NEGAMAX O
Time: 8.66861 seconds

Initial state: 27222774542216557563711
WINNER: NEGAMAX O
Time: 0.752278 seconds

Initial state: 71324677554451437653
WINNER: NEGAMAX O
Time: 3.34521 seconds

Initial state: 25734476675755361223
WINNER: NEGAMAX O
Time: 2.32731 seconds

Initial state: 11175617456367267331
WINNER: NEGAMAX O
Time: 5.5534 seconds

Initial state: 11163142533736577
WINNER: NEGAMAX O
Time: 10.0429 seconds

Initial state: 16633611716233262
WINNER: NEGAMAX O
Time: 11.5423 seconds
